University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
Symbiosis International University,Hotel Management,Management,Marketing,7,6.38,Job,Distance,Private,Semi-Urban,Hindi,0
Stanford University,B.Des UI/UX,General,General Studies,3,6.54,Job,Distance,Deemed,Urban,Hindi,0
IIT Roorkee,BA English,Arts,English,7,8.13,Teaching,Distance,Private,Rural,English,1
Calcutta University,B.Tech Computer Science,Engineering,Computer Science,5,5.87,Teaching,Regular,Private,Rural,Regional,0
Aligarh Muslim University,B.Des UI/UX,General,General Studies,1,8.66,Teaching,Online,Private,Rural,Hindi,1
IIT Roorkee,B.Pharma,Medical,Dentistry,5,6.52,Research,Online,Deemed,Rural,Hindi,0
IFTM University,B.Arch,General,General Studies,5,7.44,Teaching,Regular,Private,Semi-Urban,Hindi,0
MIT Manipal,Cyber Security Specialization,General,General Studies,4,8.27,Job,Distance,Private,Urban,Hindi,0
Lucknow University,BA Psychology,Arts,History,1,7.72,Job,Online,Deemed,Semi-Urban,Regional,0
Lucknow University,M.Des Interaction,General,General Studies,1,8.31,Teaching,Distance,Private,Semi-Urban,Regional,1
Osmania University,B.Tech Civil,Engineering,Civil,6,6.61,Research,Online,Government,Urban,English,1
Delhi University,MBA Finance,Management,Marketing,8,9.82,Research,Distance,Deemed,Semi-Urban,Hindi,1
IISc Bangalore,B.Com,Commerce,Banking,3,7.29,Job,Regular,Government,Urban,Hindi,0
Jadavpur University,BA English,Arts,English,2,6.61,Research,Distance,Government,Semi-Urban,English,0
Teerthanker Mahaveer University (TMU),Cyber Security Specialization,General,General Studies,5,6.48,Teaching,Distance,Private,Rural,English,0
Punjab University,BCA,IT,Software,7,5.21,Research,Regular,Private,Semi-Urban,Hindi,0
Osmania University,BA Psychology,Arts,English,3,8.42,Research,Regular,Private,Semi-Urban,Regional,1
MIT Manipal,BCA,IT,AI,7,6.31,Job,Distance,Deemed,Semi-Urban,English,1
Jadavpur University,B.Tech Electronics,Engineering,Computer Science,6,9.79,Job,Distance,Deemed,Semi-Urban,Hindi,1
Shiv Nadar University,LLB,Law,Corporate Law,8,6.05,Job,Distance,Deemed,Semi-Urban,Hindi,0
IFTM University,BCA,IT,Data Science,8,7.65,Research,Online,Government,Urban,Hindi,0
OP Jindal Global University,B.Des UI/UX,General,General Studies,3,8.68,Job,Distance,Deemed,Rural,English,1
Punjab University,BBA,Management,Marketing,5,9.35,Job,Online,Deemed,Rural,English,2
Massachusetts Institute of Technology (MIT USA),M.Sc Data Science,IT,Data Science,4,5.78,Research,Online,Private,Urban,English,0
IIT Kharagpur,LLB,Law,Corporate Law,4,9.93,Research,Online,Government,Urban,Hindi,1
University of Cambridge,Hotel Management,Management,HR,5,9.53,Research,Regular,Deemed,Semi-Urban,English,1
IIT Delhi,MA Psychology,Arts,History,6,9.81,Teaching,Regular,Private,Semi-Urban,Hindi,2
OP Jindal Global University,Hotel Management,Management,Finance,6,9.26,Teaching,Online,Private,Semi-Urban,Regional,1
Stanford University,Mass Communication,Commerce,Banking,1,9.39,Research,Online,Deemed,Urban,Regional,1
MIT Manipal,B.Pharma,Medical,General Medicine,2,7.99,Job,Online,Government,Semi-Urban,Regional,0
University of Hyderabad,BA Psychology,Arts,Political Science,7,9.23,Research,Regular,Government,Urban,English,2
Lucknow University,B.Tech Electronics,Engineering,Mechanical,4,7.67,Teaching,Regular,Deemed,Semi-Urban,Hindi,1
LPU Phagwara,B.Ed,Education,Teaching,2,7.69,Job,Regular,Deemed,Urban,English,1
OP Jindal Global University,M.Sc Data Science,IT,Software,3,7.81,Teaching,Online,Deemed,Rural,Regional,0
University of Hyderabad,MBA Marketing,Management,Marketing,7,9.98,Teaching,Online,Government,Urban,Hindi,1
Anna University,B.Ed,Education,Teaching,7,5.52,Teaching,Distance,Government,Semi-Urban,Regional,0
Rajasthan University,B.Tech Electronics,Engineering,Civil,7,9.03,Teaching,Distance,Private,Urban,Hindi,1
Osmania University,MBA Finance,Management,HR,3,6.37,Job,Regular,Private,Semi-Urban,English,1
Ashoka University,MBA Marketing,Management,Marketing,5,6.81,Research,Regular,Government,Semi-Urban,Hindi,0
Jadavpur University,LLM,General,General Studies,8,5.4,Job,Distance,Private,Semi-Urban,Regional,0
IIT Bombay,B.Com,Commerce,Accounting,8,6.76,Research,Regular,Government,Semi-Urban,Hindi,1
Lucknow University,MBA Marketing,Management,HR,5,9.95,Research,Online,Private,Semi-Urban,Hindi,1
Rajasthan University,B.Tech Computer Science,Engineering,Mechanical,5,6.99,Job,Distance,Deemed,Rural,Regional,0
Amrita University,B.Tech Computer Science,Engineering,Civil,7,8.35,Research,Online,Government,Rural,Regional,1
MIT Manipal,BBA,Management,Marketing,6,5.6,Job,Distance,Private,Semi-Urban,Regional,1
Galgotias University,LLM,General,General Studies,4,9.61,Job,Distance,Deemed,Urban,Regional,0
Galgotias University,M.Tech AI,Engineering,Civil,2,9.14,Research,Regular,Private,Urban,Hindi,1
Lucknow University,Nursing,General,General Studies,8,6.93,Research,Online,Private,Rural,Hindi,0
IISc Bangalore,Animation & VFX,Design,UI/UX,3,6.74,Teaching,Online,Deemed,Rural,Regional,0
IIT Bombay,MCA,IT,Software,2,7.16,Research,Online,Deemed,Semi-Urban,Hindi,1
Stanford University,B.Tech Electronics,Engineering,Civil,8,7.01,Research,Online,Government,Urban,Regional,0
BITS Pilani,BA English,Arts,Political Science,4,6.29,Research,Regular,Private,Urban,Hindi,0
SRM University,B.Sc Data Science,IT,Data Science,7,9.95,Job,Online,Deemed,Semi-Urban,English,1
Aligarh Muslim University,M.Sc Data Science,IT,AI,2,9.05,Teaching,Regular,Private,Urban,Hindi,1
Bennett University,MA Psychology,Arts,History,7,6.34,Teaching,Distance,Deemed,Rural,Regional,0
IISc Bangalore,MBA HR,Management,HR,2,9.91,Job,Online,Government,Semi-Urban,English,1
Galgotias University,MBA HR,Management,Marketing,6,5.08,Research,Regular,Deemed,Urban,English,0
IIT Madras,MBBS,Medical,Dentistry,8,7.19,Research,Distance,Private,Urban,Regional,1
University of Cambridge,B.Ed,Education,Teaching,5,7.85,Job,Online,Private,Rural,Regional,0
Anna University,B.Pharma,Medical,General Medicine,6,5.19,Teaching,Online,Government,Semi-Urban,Hindi,0
RV College of Engineering,B.Arch,General,General Studies,6,5.81,Job,Regular,Government,Rural,Hindi,0
BITS Pilani,M.Com,Commerce,Banking,7,6.29,Job,Distance,Deemed,Urban,English,1
IIT Roorkee,Mass Communication,Commerce,Banking,2,8.6,Research,Distance,Deemed,Semi-Urban,Hindi,1
Chandigarh University,M.Com,Commerce,Banking,2,9.7,Job,Distance,Private,Rural,Hindi,2
IIT Hyderabad,Hotel Management,Management,Finance,6,8.12,Job,Distance,Deemed,Rural,Hindi,1
IISc Bangalore,B.Tech Civil,Engineering,Electrical,2,7.81,Job,Online,Government,Semi-Urban,English,1
Osmania University,B.Des UI/UX,General,General Studies,6,7.68,Research,Distance,Deemed,Urban,Hindi,1
Amrita University,BBA,Management,HR,1,6.75,Research,Regular,Government,Semi-Urban,Hindi,0
VIT Vellore,MA English,Arts,English,8,9.14,Teaching,Regular,Private,Rural,Regional,1
Shiv Nadar University,B.Ed,Education,Teaching,6,7.7,Teaching,Online,Deemed,Rural,English,1
University of Mumbai,B.Tech Electronics,Engineering,Electrical,3,6.15,Teaching,Regular,Government,Semi-Urban,Regional,0
University of Oxford,M.Des Interaction,General,General Studies,3,5.68,Research,Online,Deemed,Semi-Urban,English,0
Jamia Millia Islamia,B.Ed,Education,Teaching,2,9.93,Teaching,Distance,Government,Semi-Urban,Regional,1
MIT Manipal,B.Ed,Education,Teaching,6,5.09,Job,Online,Government,Semi-Urban,Regional,0
IIT Hyderabad,MBBS,Medical,General Medicine,6,9.67,Teaching,Distance,Government,Rural,Regional,1
PES University,B.Tech Civil,Engineering,Mechanical,5,6.09,Job,Regular,Deemed,Semi-Urban,Regional,1
UPES Dehradun,B.Tech Mechanical,Engineering,Mechanical,8,8.29,Teaching,Online,Government,Semi-Urban,Hindi,0
Sharda University,B.Arch,General,General Studies,7,6.51,Research,Distance,Deemed,Rural,Hindi,0
PES University,BA Psychology,Arts,History,5,9.3,Job,Online,Government,Rural,Hindi,0
IIT Indore,B.Tech Mechanical,Engineering,Computer Science,5,7.72,Job,Distance,Government,Rural,Regional,2
Manipal Institute of Technology,BA Psychology,Arts,History,6,5.71,Research,Online,Deemed,Semi-Urban,English,0
University of Hyderabad,B.Tech Computer Science,Engineering,Mechanical,8,6.35,Job,Online,Deemed,Semi-Urban,English,1
Galgotias University,B.Pharma,Medical,General Medicine,6,6.6,Teaching,Online,Deemed,Urban,Regional,1
BITS Pilani,B.Tech Electronics,Engineering,Mechanical,3,9.43,Research,Online,Private,Semi-Urban,Regional,2
Jadavpur University,B.Tech Electrical,Engineering,Electrical,4,8.83,Job,Distance,Private,Urban,Hindi,1
Punjab University,BA English,Arts,History,2,9.15,Research,Distance,Private,Semi-Urban,Regional,1
Madras University,LLB,Law,Criminal Law,3,5.26,Job,Online,Government,Rural,Hindi,0
Jamia Millia Islamia,Animation & VFX,Design,UI/UX,5,7.89,Job,Online,Government,Urban,Hindi,0
Moradabad Institute of Technology (MIT),LLM,General,General Studies,3,10.0,Research,Regular,Government,Urban,Regional,0
Harvard University,BBA,Management,Finance,3,8.93,Job,Distance,Deemed,Rural,English,1
KIIT Bhubaneswar,Mass Communication,Commerce,Accounting,3,5.6,Teaching,Distance,Private,Urban,English,0
Stanford University,B.Com,Commerce,Banking,8,8.39,Teaching,Distance,Government,Semi-Urban,Regional,1
IIT Delhi,M.Sc Data Science,IT,AI,5,8.73,Job,Distance,Deemed,Urban,Hindi,1
Shiv Nadar University,Cyber Security Specialization,General,General Studies,4,7.57,Job,Regular,Private,Rural,Hindi,1
KIIT Bhubaneswar,Animation & VFX,Design,UI/UX,1,5.39,Teaching,Online,Private,Semi-Urban,English,0
IISc Bangalore,Nursing,General,General Studies,2,5.17,Job,Online,Deemed,Urban,Hindi,0
Delhi University,Animation & VFX,Design,Product Design,2,9.69,Job,Online,Government,Semi-Urban,English,0
Jadavpur University,M.Tech AI,Engineering,Electrical,7,6.29,Research,Regular,Private,Urban,Regional,1
Allahabad University,MBA HR,Management,HR,3,6.89,Research,Regular,Government,Rural,Regional,0
Lucknow University,B.Des UI/UX,General,General Studies,4,8.98,Teaching,Online,Government,Urban,Hindi,2
University of Oxford,M.Com,Commerce,Banking,5,8.45,Teaching,Regular,Government,Rural,Regional,0
Pune University,B.Arch,General,General Studies,1,9.84,Research,Regular,Government,Semi-Urban,Regional,1
Osmania University,B.Tech Mechanical,Engineering,Electrical,1,5.46,Research,Regular,Government,Semi-Urban,Hindi,0
MIT Manipal,Mass Communication,Commerce,Accounting,3,8.53,Teaching,Regular,Government,Semi-Urban,Hindi,1
IIT BHU,B.Arch,General,General Studies,3,5.41,Teaching,Online,Government,Urban,English,0
IIT Hyderabad,M.Com,Commerce,Accounting,5,5.0,Teaching,Regular,Deemed,Rural,Regional,0
Allahabad University,MA English,Arts,History,7,5.6,Research,Online,Government,Urban,Regional,0
Thapar University,MBA Marketing,Management,Finance,5,8.08,Research,Distance,Government,Rural,Hindi,0
Graphic Era University,B.Pharma,Medical,General Medicine,8,8.38,Job,Regular,Private,Rural,Regional,1
Bennett University,Mass Communication,Commerce,Accounting,6,7.19,Teaching,Distance,Private,Semi-Urban,English,2
Symbiosis International University,BBA,Management,Finance,5,5.23,Job,Distance,Government,Rural,English,1
LPU Phagwara,B.Tech Computer Science,Engineering,Mechanical,3,8.17,Teaching,Regular,Private,Urban,Hindi,0
Galgotias University,MBA Marketing,Management,Marketing,4,5.43,Research,Online,Deemed,Semi-Urban,Regional,0
IFTM University,PhD Research,Research,Interdisciplinary,3,5.71,Teaching,Online,Deemed,Rural,English,1
Patna University,B.Tech Electronics,Engineering,Computer Science,7,7.56,Teaching,Online,Deemed,Urban,Regional,1
Amity University,MA English,Arts,Political Science,3,6.7,Research,Regular,Private,Urban,Hindi,0
Moradabad Institute of Technology (MIT),MBA HR,Management,Finance,1,7.32,Research,Regular,Deemed,Semi-Urban,Hindi,0
Manipal Institute of Technology,MBA Marketing,Management,HR,8,8.18,Teaching,Online,Deemed,Rural,Regional,0
MIT Manipal,Cyber Security Specialization,General,General Studies,5,5.8,Teaching,Online,Private,Rural,English,0
Jamia Millia Islamia,BCA,IT,AI,2,9.47,Teaching,Distance,Government,Semi-Urban,Hindi,0
Patna University,MCA,IT,Software,5,7.8,Teaching,Distance,Government,Semi-Urban,Regional,0
Thapar University,BCA,IT,Data Science,6,5.11,Teaching,Regular,Government,Semi-Urban,Regional,0
Massachusetts Institute of Technology (MIT USA),M.Com,Commerce,Banking,4,8.14,Research,Online,Private,Semi-Urban,English,0
IIT Delhi,Animation & VFX,Design,Product Design,4,7.32,Teaching,Online,Government,Urban,Hindi,1
BITS Pilani,B.Pharma,Medical,General Medicine,5,8.51,Research,Regular,Deemed,Semi-Urban,Regional,1
Massachusetts Institute of Technology (MIT USA),Hotel Management,Management,Marketing,5,8.92,Job,Online,Government,Rural,Hindi,0
University of Oxford,B.Ed,Education,Teaching,3,9.69,Job,Regular,Deemed,Rural,Hindi,1
Patna University,MCA,IT,AI,2,9.99,Teaching,Distance,Government,Rural,Hindi,1
IIT Guwahati,Hotel Management,Management,Marketing,7,7.75,Job,Online,Government,Urban,Regional,2
IIT Kanpur,BA Psychology,Arts,English,3,7.81,Research,Online,Government,Rural,Regional,1
Jamia Millia Islamia,LLB,Law,Criminal Law,8,5.11,Job,Regular,Private,Urban,English,1
Jamia Millia Islamia,LLB,Law,Criminal Law,1,9.33,Job,Regular,Government,Rural,English,1
Symbiosis International University,B.Arch,General,General Studies,8,5.14,Research,Regular,Deemed,Semi-Urban,Hindi,0
KIIT Bhubaneswar,B.Des UI/UX,General,General Studies,1,8.16,Teaching,Regular,Deemed,Urban,Regional,0
Graphic Era University,BBA,Management,HR,8,5.49,Research,Distance,Government,Urban,Hindi,0
VIT Vellore,Hotel Management,Management,Finance,4,6.43,Research,Regular,Private,Urban,Regional,0
Amity University,MA Psychology,Arts,Political Science,4,5.7,Teaching,Online,Government,Rural,Regional,0
Stanford University,B.Arch,General,General Studies,2,5.69,Research,Online,Government,Semi-Urban,Hindi,0
IIT BHU,MBBS,Medical,General Medicine,4,5.37,Teaching,Online,Deemed,Rural,English,0
University of Mumbai,MBA Finance,Management,Finance,6,6.59,Research,Online,Private,Urban,Regional,0
University of Mumbai,Cyber Security Specialization,General,General Studies,8,7.12,Job,Distance,Deemed,Semi-Urban,Hindi,1
Aligarh Muslim University,Hotel Management,Management,Marketing,1,7.32,Teaching,Distance,Private,Urban,English,1
OP Jindal Global University,M.Sc Data Science,IT,Software,2,7.2,Teaching,Distance,Government,Urban,English,0
Rajasthan University,B.Tech Electrical,Engineering,Mechanical,1,7.62,Job,Regular,Deemed,Rural,Regional,1
Patna University,B.Com,Commerce,Accounting,5,9.3,Job,Online,Government,Rural,Hindi,1
IIT Hyderabad,M.Tech AI,Engineering,Civil,5,8.16,Teaching,Online,Government,Semi-Urban,English,0
IFTM University,B.Pharma,Medical,Dentistry,2,5.09,Job,Distance,Deemed,Rural,Regional,0
Jamia Millia Islamia,B.Tech Electronics,Engineering,Computer Science,3,5.86,Research,Regular,Government,Rural,Hindi,0
Aligarh Muslim University,B.Tech Electronics,Engineering,Computer Science,6,6.74,Research,Distance,Private,Rural,Regional,0
Sharda University,MA English,Arts,English,7,9.75,Research,Online,Government,Urban,Hindi,1
Graphic Era University,Nursing,General,General Studies,6,5.39,Job,Online,Private,Urban,Regional,0
Banaras Hindu University,LLM,General,General Studies,8,8.55,Job,Distance,Government,Rural,Regional,1
Thapar University,Mass Communication,Commerce,Banking,7,5.17,Job,Online,Private,Urban,Hindi,0
IFTM University,B.Tech Electrical,Engineering,Civil,4,6.81,Teaching,Distance,Deemed,Rural,Regional,0
Aligarh Muslim University,MA English,Arts,English,7,8.85,Research,Distance,Government,Semi-Urban,Hindi,1
Jamia Millia Islamia,MBBS,Medical,General Medicine,2,6.72,Teaching,Distance,Deemed,Rural,English,0
IIT Guwahati,LLM,General,General Studies,6,7.15,Teaching,Distance,Deemed,Semi-Urban,English,1
Anna University,Hotel Management,Management,Marketing,7,9.53,Teaching,Online,Private,Rural,Regional,1
DIT University,MBA HR,Management,Finance,4,5.33,Research,Regular,Government,Semi-Urban,Hindi,0
Rajasthan University,Animation & VFX,Design,UI/UX,1,7.64,Research,Online,Deemed,Urban,English,1
SRM University,M.Sc Data Science,IT,Software,7,6.83,Research,Distance,Government,Rural,Hindi,0
IIT Kanpur,M.Des Interaction,General,General Studies,3,9.82,Job,Online,Private,Semi-Urban,English,1
Aligarh Muslim University,LLB,Law,Corporate Law,4,8.97,Research,Regular,Deemed,Semi-Urban,Hindi,1
Harvard University,MCA,IT,AI,5,5.61,Job,Online,Private,Urban,Hindi,0
Banaras Hindu University,Cyber Security Specialization,General,General Studies,7,9.64,Job,Distance,Deemed,Semi-Urban,English,2
Manipal Institute of Technology,Animation & VFX,Design,Product Design,5,6.06,Job,Regular,Private,Rural,English,0
Manipal Institute of Technology,Mass Communication,Commerce,Accounting,1,5.42,Research,Online,Government,Semi-Urban,Regional,0
UPES Dehradun,B.Des UI/UX,General,General Studies,2,7.71,Research,Regular,Deemed,Semi-Urban,Hindi,0
Bennett University,B.Arch,General,General Studies,4,8.68,Research,Online,Deemed,Semi-Urban,Regional,1
Teerthanker Mahaveer University (TMU),BCA,IT,AI,7,8.58,Research,Regular,Government,Urban,English,2
IIT Guwahati,BA Psychology,Arts,Political Science,7,7.67,Teaching,Distance,Deemed,Urban,English,1
Delhi University,BCA,IT,Data Science,1,7.46,Research,Distance,Private,Urban,Hindi,0
Jadavpur University,MCA,IT,AI,7,9.85,Research,Regular,Deemed,Semi-Urban,Hindi,2
Punjab University,MBA HR,Management,Marketing,5,9.1,Research,Online,Deemed,Urban,English,1
Jadavpur University,B.Tech Computer Science,Engineering,Civil,7,8.49,Research,Distance,Deemed,Urban,Regional,1
Madras University,MBA Marketing,Management,Marketing,8,5.98,Research,Online,Private,Rural,Hindi,0
Thapar University,B.Tech Civil,Engineering,Civil,7,9.1,Teaching,Regular,Government,Semi-Urban,Hindi,1
OP Jindal Global University,Nursing,General,General Studies,5,8.75,Teaching,Online,Private,Urban,Regional,0
Calcutta University,B.Com,Commerce,Accounting,5,9.96,Job,Regular,Private,Rural,English,1
Osmania University,B.Tech Civil,Engineering,Computer Science,3,5.66,Job,Online,Deemed,Rural,English,0
RV College of Engineering,B.Tech Electrical,Engineering,Mechanical,3,8.58,Research,Regular,Deemed,Semi-Urban,English,1
Osmania University,B.Tech Electronics,Engineering,Computer Science,5,9.9,Job,Regular,Government,Semi-Urban,English,1
Allahabad University,MBBS,Medical,General Medicine,6,7.31,Teaching,Regular,Deemed,Rural,Regional,2
Osmania University,B.Arch,General,General Studies,2,8.67,Research,Regular,Private,Semi-Urban,English,2
Osmania University,M.Sc Data Science,IT,Software,3,9.88,Job,Online,Deemed,Rural,Hindi,1
Moradabad Institute of Technology (MIT),MCA,IT,Software,4,7.74,Job,Distance,Deemed,Urban,Hindi,0
Madras University,MBA Finance,Management,Marketing,3,8.5,Teaching,Regular,Government,Semi-Urban,Hindi,1
DIT University,B.Tech Civil,Engineering,Electrical,4,5.1,Research,Regular,Private,Urban,Regional,0
Aligarh Muslim University,B.Pharma,Medical,Dentistry,3,7.6,Job,Distance,Private,Semi-Urban,Regional,0
BITS Pilani,B.Des UI/UX,General,General Studies,5,6.28,Teaching,Distance,Government,Rural,Hindi,0
Symbiosis International University,Hotel Management,Management,HR,7,5.66,Research,Regular,Private,Urban,English,0
IIT Bombay,MBA HR,Management,HR,4,8.54,Teaching,Regular,Private,Rural,English,2
IIT Delhi,B.Des UI/UX,General,General Studies,8,5.2,Research,Online,Deemed,Rural,English,1
MIT Manipal,Animation & VFX,Design,UI/UX,7,9.52,Research,Distance,Government,Rural,English,1
Sharda University,MBA Marketing,Management,Marketing,7,7.59,Research,Online,Government,Semi-Urban,Hindi,0
Calcutta University,MBA Finance,Management,Finance,2,8.24,Teaching,Regular,Deemed,Semi-Urban,English,1
Jamia Millia Islamia,MA English,Arts,Political Science,3,6.27,Research,Regular,Government,Rural,Regional,0
Teerthanker Mahaveer University (TMU),LLB,Law,Criminal Law,3,5.91,Job,Regular,Government,Rural,English,0
MIT Manipal,B.Tech Computer Science,Engineering,Computer Science,5,6.22,Research,Regular,Deemed,Semi-Urban,English,0
IIT Indore,B.Sc Data Science,IT,Data Science,4,6.16,Research,Distance,Deemed,Urban,Hindi,0
DIT University,B.Des UI/UX,General,General Studies,6,9.32,Teaching,Online,Private,Semi-Urban,English,1
Manipal Institute of Technology,MBA HR,Management,Finance,5,8.94,Research,Distance,Private,Semi-Urban,Hindi,1
IIT Bombay,BBA,Management,Marketing,7,9.26,Job,Regular,Deemed,Semi-Urban,Hindi,2
Bennett University,BCA,IT,Data Science,4,8.67,Job,Online,Government,Urban,English,1
DIT University,Animation & VFX,Design,UI/UX,3,8.22,Research,Regular,Deemed,Semi-Urban,Hindi,0
OP Jindal Global University,M.Des Interaction,General,General Studies,3,7.64,Teaching,Distance,Deemed,Semi-Urban,Regional,0
Osmania University,MBBS,Medical,Dentistry,3,6.33,Job,Regular,Deemed,Urban,Hindi,0
Ashoka University,PhD Research,Research,Interdisciplinary,3,8.53,Teaching,Distance,Private,Semi-Urban,Hindi,0
BIT Mesra,Mass Communication,Commerce,Banking,8,5.68,Research,Distance,Deemed,Rural,English,0
RV College of Engineering,B.Tech Electronics,Engineering,Civil,1,7.56,Teaching,Regular,Government,Urban,English,1
Shiv Nadar University,B.Tech Electronics,Engineering,Electrical,3,5.98,Research,Regular,Deemed,Semi-Urban,Hindi,0
Symbiosis International University,BA Psychology,Arts,English,3,7.52,Research,Distance,Deemed,Rural,Regional,0
Christ University,Nursing,General,General Studies,6,6.47,Teaching,Online,Deemed,Rural,Regional,0
IISc Bangalore,MBBS,Medical,Dentistry,6,5.27,Job,Distance,Private,Urban,Hindi,1
Moradabad Institute of Technology (MIT),B.Des UI/UX,General,General Studies,4,7.52,Research,Online,Government,Urban,Hindi,0
Moradabad Institute of Technology (MIT),PhD Research,Research,Interdisciplinary,7,5.91,Research,Distance,Government,Semi-Urban,Hindi,0
Shiv Nadar University,B.Tech Civil,Engineering,Computer Science,3,5.81,Research,Regular,Private,Urban,Hindi,0
University of Hyderabad,Nursing,General,General Studies,3,6.92,Job,Distance,Private,Semi-Urban,English,0
Patna University,Hotel Management,Management,Finance,8,6.81,Job,Online,Private,Rural,Hindi,1
University of Cambridge,B.Tech Civil,Engineering,Electrical,4,9.33,Research,Online,Government,Rural,Hindi,1
Christ University,B.Tech Electronics,Engineering,Mechanical,7,7.82,Job,Online,Government,Semi-Urban,Regional,1
IIT Madras,BA Psychology,Arts,History,3,9.27,Teaching,Online,Deemed,Urban,Hindi,1
DIT University,B.Tech Computer Science,Engineering,Computer Science,8,5.73,Teaching,Online,Government,Semi-Urban,Hindi,0
Allahabad University,B.Sc Data Science,IT,AI,3,6.79,Teaching,Distance,Private,Semi-Urban,Hindi,0
IIT Hyderabad,B.Tech Electronics,Engineering,Civil,5,7.78,Teaching,Regular,Government,Urban,Hindi,1
Christ University,Mass Communication,Commerce,Banking,1,5.77,Research,Regular,Government,Semi-Urban,Hindi,0
University of Hyderabad,Hotel Management,Management,HR,4,5.64,Teaching,Distance,Government,Urban,Regional,0
University of Hyderabad,B.Arch,General,General Studies,5,8.31,Job,Regular,Government,Urban,English,1
Stanford University,B.Ed,Education,Teaching,6,8.27,Research,Distance,Deemed,Rural,English,1
BIT Mesra,B.Arch,General,General Studies,7,6.17,Job,Online,Private,Rural,Regional,1
Rajasthan University,B.Sc Data Science,IT,Software,2,6.14,Teaching,Distance,Government,Urban,Hindi,0
Chandigarh University,B.Tech Civil,Engineering,Electrical,2,8.73,Research,Regular,Private,Urban,Regional,1
Madras University,B.Com,Commerce,Accounting,6,5.58,Research,Regular,Private,Urban,Hindi,0
IIT Roorkee,B.Tech Electrical,Engineering,Electrical,1,9.62,Research,Regular,Government,Urban,English,2
University of Hyderabad,MA Psychology,Arts,History,7,9.72,Teaching,Distance,Deemed,Semi-Urban,English,1
Banaras Hindu University,B.Des UI/UX,General,General Studies,7,9.35,Job,Distance,Deemed,Urban,English,2
University of Hyderabad,MCA,IT,Data Science,8,6.05,Research,Distance,Deemed,Rural,Hindi,0
IISc Bangalore,Hotel Management,Management,Finance,2,5.08,Job,Regular,Government,Urban,Hindi,0
Galgotias University,Hotel Management,Management,HR,1,9.68,Teaching,Distance,Government,Rural,Regional,0
Anna University,BCA,IT,Software,2,6.72,Teaching,Distance,Government,Urban,Hindi,0
Bennett University,LLM,General,General Studies,2,6.55,Job,Regular,Government,Semi-Urban,Hindi,0
Osmania University,B.Tech Electronics,Engineering,Mechanical,7,6.31,Research,Online,Government,Semi-Urban,English,1
Osmania University,B.Com,Commerce,Banking,8,6.22,Job,Online,Private,Urban,Hindi,1
Anna University,LLB,Law,Corporate Law,5,8.67,Research,Regular,Private,Rural,Regional,1
IISc Bangalore,B.Arch,General,General Studies,7,9.54,Research,Regular,Government,Semi-Urban,Regional,2
MIT Manipal,BA English,Arts,English,2,8.93,Job,Online,Deemed,Rural,English,1
Osmania University,BCA,IT,Data Science,7,8.37,Research,Distance,Private,Rural,Hindi,1
Massachusetts Institute of Technology (MIT USA),BA Psychology,Arts,English,6,6.44,Research,Regular,Government,Semi-Urban,English,1
IFTM University,BCA,IT,Data Science,1,7.73,Research,Online,Government,Urban,English,0
Banaras Hindu University,M.Des Interaction,General,General Studies,3,6.18,Teaching,Distance,Private,Rural,Regional,0
IIT Bombay,BBA,Management,Finance,7,5.56,Research,Regular,Private,Rural,English,1
RV College of Engineering,B.Tech Computer Science,Engineering,Electrical,7,5.6,Job,Online,Government,Urban,English,0
IIT Kanpur,Cyber Security Specialization,General,General Studies,3,8.02,Teaching,Distance,Deemed,Urban,Regional,0
University of Cambridge,B.Tech Mechanical,Engineering,Mechanical,3,5.19,Research,Distance,Government,Semi-Urban,English,0
Osmania University,B.Com,Commerce,Banking,1,9.87,Teaching,Online,Private,Semi-Urban,English,1
IIT BHU,LLB,Law,Criminal Law,8,9.98,Job,Distance,Private,Urban,Hindi,0
IIT Delhi,M.Des Interaction,General,General Studies,1,5.75,Teaching,Online,Government,Urban,Hindi,0
Anna University,BA English,Arts,History,3,7.14,Teaching,Online,Private,Rural,Hindi,0
Teerthanker Mahaveer University (TMU),B.Sc Data Science,IT,Data Science,6,8.84,Research,Distance,Government,Urban,Hindi,1
VIT Vellore,MA Psychology,Arts,Political Science,2,9.78,Job,Online,Deemed,Rural,Regional,0
DIT University,BA Psychology,Arts,Political Science,3,9.46,Job,Online,Deemed,Semi-Urban,Regional,0
IIT Indore,MA English,Arts,Political Science,4,6.27,Teaching,Regular,Government,Semi-Urban,Hindi,1
Osmania University,MA Psychology,Arts,History,7,5.43,Research,Online,Private,Rural,English,0
Teerthanker Mahaveer University (TMU),PhD Research,Research,Interdisciplinary,1,6.44,Teaching,Distance,Private,Semi-Urban,English,0
MIT Manipal,B.Tech Computer Science,Engineering,Computer Science,4,7.19,Teaching,Online,Deemed,Rural,English,0
Delhi University,M.Des Interaction,General,General Studies,4,6.8,Teaching,Distance,Private,Rural,Hindi,0
Anna University,M.Des Interaction,General,General Studies,1,8.87,Research,Regular,Private,Rural,English,2
Patna University,BA Psychology,Arts,History,8,6.29,Teaching,Distance,Government,Urban,Regional,0
Amrita University,PhD Research,Research,Interdisciplinary,7,9.29,Research,Online,Deemed,Semi-Urban,Hindi,1
